name,n,year
Infectado por 2 / nunca contraiu 1,0.01,1
Infectado por 2 / nunca contraiu 1,0.00995,2
Infectado por 2 / nunca contraiu 1,0.0076,3
Infectado por 2 / nunca contraiu 1,0.0072,4
Infectado por 2 / nunca contraiu 1,0.006875,5
Infectado por 2 / nunca contraiu 1,0.00735,6
Infectado por 2 / nunca contraiu 1,0.0077,7
Infectado por 2 / nunca contraiu 1,0.00815,8
Infectado por 2 / nunca contraiu 1,0.008725,9
Infectado por 2 / nunca contraiu 1,0.009675,10
Infectado por 2 / nunca contraiu 1,0.011025,11
Infectado por 2 / nunca contraiu 1,0.01155,12
Infectado por 2 / nunca contraiu 1,0.012325,13
Infectado por 2 / nunca contraiu 1,0.013625,14
Infectado por 2 / nunca contraiu 1,0.015475,15
Infectado por 2 / nunca contraiu 1,0.017175,16
Infectado por 2 / nunca contraiu 1,0.0176,17
Infectado por 2 / nunca contraiu 1,0.018625,18
Infectado por 2 / nunca contraiu 1,0.018475,19
Infectado por 2 / nunca contraiu 1,0.019675,20
Infectado por 2 / nunca contraiu 1,0.021275,21
Infectado por 2 / nunca contraiu 1,0.023875,22
Infectado por 2 / nunca contraiu 1,0.023025,23
Infectado por 2 / nunca contraiu 1,0.023575,24
Infectado por 2 / nunca contraiu 1,0.02405,25
Infectado por 2 / nunca contraiu 1,0.025125,26
Infectado por 2 / nunca contraiu 1,0.0269,27
Infectado por 2 / nunca contraiu 1,0.027275,28
Infectado por 2 / nunca contraiu 1,0.029075,29
Infectado por 2 / nunca contraiu 1,0.029525,30
Infectado por 2 / nunca contraiu 1,0.0307,31
Infectado por 2 / nunca contraiu 1,0.0311,32
Infectado por 2 / nunca contraiu 1,0.031775,33
Infectado por 2 / nunca contraiu 1,0.0328,34
Infectado por 2 / nunca contraiu 1,0.035075,35
Infectado por 2 / nunca contraiu 1,0.037,36
Infectado por 2 / nunca contraiu 1,0.035375,37
Infectado por 2 / nunca contraiu 1,0.03595,38
Infectado por 2 / nunca contraiu 1,0.0376,39
Infectado por 2 / nunca contraiu 1,0.0388,40
Infectado por 2 / nunca contraiu 1,0.040725,41
Infectado por 2 / nunca contraiu 1,0.042225,42
Infectado por 2 / nunca contraiu 1,0.042925,43
Infectado por 2 / nunca contraiu 1,0.0412,44
Infectado por 2 / nunca contraiu 1,0.041775,45
Infectado por 2 / nunca contraiu 1,0.04385,46
Infectado por 2 / nunca contraiu 1,0.0456,47
Infectado por 2 / nunca contraiu 1,0.046325,48
Infectado por 2 / nunca contraiu 1,0.0468,49
Infectado por 2 / nunca contraiu 1,0.048375,50
Infectado por 2 / nunca contraiu 1,0.047225,51
Infectado por 2 / nunca contraiu 1,0.048625,52
Infectado por 2 / nunca contraiu 1,0.0485,53
Infectado por 2 / nunca contraiu 1,0.050225,54
Infectado por 2 / nunca contraiu 1,0.0516,55
Infectado por 2 / nunca contraiu 1,0.052825,56
Infectado por 2 / nunca contraiu 1,0.0547,57
Infectado por 2 / nunca contraiu 1,0.055525,58
Infectado por 2 / nunca contraiu 1,0.057,59
Infectado por 2 / nunca contraiu 1,0.05785,60
Infectado por 2 / nunca contraiu 1,0.059825,61
Infectado por 2 / nunca contraiu 1,0.059975,62
Infectado por 2 / nunca contraiu 1,0.061975,63
Infectado por 2 / nunca contraiu 1,0.0611,64
Infectado por 2 / nunca contraiu 1,0.06185,65
Infectado por 2 / nunca contraiu 1,0.06305,66
Infectado por 2 / nunca contraiu 1,0.06375,67
Infectado por 2 / nunca contraiu 1,0.062525,68
Infectado por 2 / nunca contraiu 1,0.064775,69
Infectado por 2 / nunca contraiu 1,0.0653,70
Infectado por 2 / nunca contraiu 1,0.065775,71
Infectado por 2 / nunca contraiu 1,0.066625,72
Infectado por 2 / nunca contraiu 1,0.06865,73
Infectado por 2 / nunca contraiu 1,0.069575,74
Infectado por 2 / nunca contraiu 1,0.07245,75
Infectado por 2 / nunca contraiu 1,0.074275,76
Infectado por 2 / nunca contraiu 1,0.07545,77
Infectado por 2 / nunca contraiu 1,0.0751,78
Infectado por 2 / nunca contraiu 1,0.07655,79
Infectado por 2 / nunca contraiu 1,0.0786,80
Infectado por 2 / nunca contraiu 1,0.077475,81
Infectado por 2 / nunca contraiu 1,0.07655,82
Infectado por 2 / nunca contraiu 1,0.077575,83
Infectado por 2 / nunca contraiu 1,0.07975,84
Infectado por 2 / nunca contraiu 1,0.079375,85
Infectado por 2 / nunca contraiu 1,0.0796,86
Infectado por 2 / nunca contraiu 1,0.08195,87
Infectado por 2 / nunca contraiu 1,0.084325,88
Infectado por 2 / nunca contraiu 1,0.084425,89
Infectado por 2 / nunca contraiu 1,0.0843,90
Infectado por 2 / nunca contraiu 1,0.087,91
Infectado por 2 / nunca contraiu 1,0.087625,92
