name,n,year
Infectado por 2 / nunca contraiu 1,0.01,1
Infectado por 2 / nunca contraiu 1,0.002275,2
Infectado por 2 / nunca contraiu 1,5.0E-4,3
Infectado por 2 / nunca contraiu 1,5.0E-5,4
Infectado por 2 / nunca contraiu 1,0.0,5
Infectado por 2 / nunca contraiu 1,0.0,6
Infectado por 2 / nunca contraiu 1,0.0,7
Infectado por 2 / nunca contraiu 1,0.0,8
Infectado por 2 / nunca contraiu 1,0.0,9
Infectado por 2 / nunca contraiu 1,0.0,10
Infectado por 2 / nunca contraiu 1,0.0,11
Infectado por 2 / nunca contraiu 1,0.0,12
Infectado por 2 / nunca contraiu 1,0.0,13
Infectado por 2 / nunca contraiu 1,0.0,14
Infectado por 2 / nunca contraiu 1,0.0,15
Infectado por 2 / nunca contraiu 1,0.0,16
Infectado por 2 / nunca contraiu 1,0.0,17
Infectado por 2 / nunca contraiu 1,0.0,18
Infectado por 2 / nunca contraiu 1,0.0,19
Infectado por 2 / nunca contraiu 1,0.0,20
Infectado por 2 / nunca contraiu 1,0.0,21
Infectado por 2 / nunca contraiu 1,0.0,22
Infectado por 2 / nunca contraiu 1,0.0,23
Infectado por 2 / nunca contraiu 1,0.0,24
Infectado por 2 / nunca contraiu 1,0.0,25
Infectado por 2 / nunca contraiu 1,0.0,26
Infectado por 2 / nunca contraiu 1,0.0,27
Infectado por 2 / nunca contraiu 1,0.0,28
Infectado por 2 / nunca contraiu 1,0.0,29
Infectado por 2 / nunca contraiu 1,0.0,30
Infectado por 2 / nunca contraiu 1,0.0,31
Infectado por 2 / nunca contraiu 1,0.0,32
Infectado por 2 / nunca contraiu 1,0.0,33
Infectado por 2 / nunca contraiu 1,0.0,34
Infectado por 2 / nunca contraiu 1,0.0,35
Infectado por 2 / nunca contraiu 1,0.0,36
Infectado por 2 / nunca contraiu 1,0.0,37
Infectado por 2 / nunca contraiu 1,0.0,38
Infectado por 2 / nunca contraiu 1,0.0,39
Infectado por 2 / nunca contraiu 1,0.0,40
Infectado por 2 / nunca contraiu 1,0.0,41
Infectado por 2 / nunca contraiu 1,0.0,42
Infectado por 2 / nunca contraiu 1,0.0,43
Infectado por 2 / nunca contraiu 1,0.0,44
Infectado por 2 / nunca contraiu 1,0.0,45
Infectado por 2 / nunca contraiu 1,0.0,46
Infectado por 2 / nunca contraiu 1,0.0,47
Infectado por 2 / nunca contraiu 1,0.0,48
Infectado por 2 / nunca contraiu 1,0.0,49
Infectado por 2 / nunca contraiu 1,0.0,50
Infectado por 2 / nunca contraiu 1,0.0,51
Infectado por 2 / nunca contraiu 1,0.0,52
Infectado por 2 / nunca contraiu 1,0.0,53
Infectado por 2 / nunca contraiu 1,0.0,54
Infectado por 2 / nunca contraiu 1,0.0,55
Infectado por 2 / nunca contraiu 1,0.0,56
Infectado por 2 / nunca contraiu 1,0.0,57
Infectado por 2 / nunca contraiu 1,0.0,58
Infectado por 2 / nunca contraiu 1,0.0,59
Infectado por 2 / nunca contraiu 1,0.0,60
Infectado por 2 / nunca contraiu 1,0.0,61
Infectado por 2 / nunca contraiu 1,0.0,62
Infectado por 2 / nunca contraiu 1,0.0,63
Infectado por 2 / nunca contraiu 1,0.0,64
Infectado por 2 / nunca contraiu 1,0.0,65
Infectado por 2 / nunca contraiu 1,0.0,66
Infectado por 2 / nunca contraiu 1,0.0,67
Infectado por 2 / nunca contraiu 1,0.0,68
Infectado por 2 / nunca contraiu 1,0.0,69
Infectado por 2 / nunca contraiu 1,0.0,70
Infectado por 2 / nunca contraiu 1,0.0,71
Infectado por 2 / nunca contraiu 1,0.0,72
Infectado por 2 / nunca contraiu 1,0.0,73
Infectado por 2 / nunca contraiu 1,0.0,74
Infectado por 2 / nunca contraiu 1,0.0,75
Infectado por 2 / nunca contraiu 1,0.0,76
Infectado por 2 / nunca contraiu 1,0.0,77
Infectado por 2 / nunca contraiu 1,0.0,78
Infectado por 2 / nunca contraiu 1,0.0,79
Infectado por 2 / nunca contraiu 1,0.0,80
Infectado por 2 / nunca contraiu 1,0.0,81
Infectado por 2 / nunca contraiu 1,0.0,82
Infectado por 2 / nunca contraiu 1,0.0,83
Infectado por 2 / nunca contraiu 1,0.0,84
Infectado por 2 / nunca contraiu 1,0.0,85
Infectado por 2 / nunca contraiu 1,0.0,86
Infectado por 2 / nunca contraiu 1,0.0,87
Infectado por 2 / nunca contraiu 1,0.0,88
Infectado por 2 / nunca contraiu 1,0.0,89
Infectado por 2 / nunca contraiu 1,0.0,90
Infectado por 2 / nunca contraiu 1,0.0,91
Infectado por 2 / nunca contraiu 1,0.0,92
Infectado por 2 / nunca contraiu 1,0.0,93
Infectado por 2 / nunca contraiu 1,0.0,94
Infectado por 2 / nunca contraiu 1,0.0,95
Infectado por 2 / nunca contraiu 1,0.0,96
Infectado por 2 / nunca contraiu 1,0.0,97
Infectado por 2 / nunca contraiu 1,0.0,98
Infectado por 2 / nunca contraiu 1,0.0,99
Infectado por 2 / nunca contraiu 1,0.0,100
Infectado por 2 / imune a 1 porque contraiu 1,0.0,1
Infectado por 2 / imune a 1 porque contraiu 1,0.0,2
Infectado por 2 / imune a 1 porque contraiu 1,0.0,3
Infectado por 2 / imune a 1 porque contraiu 1,0.0,4
Infectado por 2 / imune a 1 porque contraiu 1,0.0,5
Infectado por 2 / imune a 1 porque contraiu 1,0.0,6
Infectado por 2 / imune a 1 porque contraiu 1,0.0,7
Infectado por 2 / imune a 1 porque contraiu 1,0.0,8
Infectado por 2 / imune a 1 porque contraiu 1,0.0,9
Infectado por 2 / imune a 1 porque contraiu 1,0.0,10
Infectado por 2 / imune a 1 porque contraiu 1,0.0,11
Infectado por 2 / imune a 1 porque contraiu 1,0.0,12
Infectado por 2 / imune a 1 porque contraiu 1,0.0,13
Infectado por 2 / imune a 1 porque contraiu 1,0.0,14
Infectado por 2 / imune a 1 porque contraiu 1,0.0,15
Infectado por 2 / imune a 1 porque contraiu 1,0.0,16
Infectado por 2 / imune a 1 porque contraiu 1,0.0,17
Infectado por 2 / imune a 1 porque contraiu 1,0.0,18
Infectado por 2 / imune a 1 porque contraiu 1,0.0,19
Infectado por 2 / imune a 1 porque contraiu 1,0.0,20
Infectado por 2 / imune a 1 porque contraiu 1,0.0,21
Infectado por 2 / imune a 1 porque contraiu 1,0.0,22
Infectado por 2 / imune a 1 porque contraiu 1,0.0,23
Infectado por 2 / imune a 1 porque contraiu 1,0.0,24
Infectado por 2 / imune a 1 porque contraiu 1,0.0,25
Infectado por 2 / imune a 1 porque contraiu 1,0.0,26
Infectado por 2 / imune a 1 porque contraiu 1,0.0,27
Infectado por 2 / imune a 1 porque contraiu 1,0.0,28
Infectado por 2 / imune a 1 porque contraiu 1,0.0,29
Infectado por 2 / imune a 1 porque contraiu 1,0.0,30
Infectado por 2 / imune a 1 porque contraiu 1,0.0,31
Infectado por 2 / imune a 1 porque contraiu 1,0.0,32
Infectado por 2 / imune a 1 porque contraiu 1,0.0,33
Infectado por 2 / imune a 1 porque contraiu 1,0.0,34
Infectado por 2 / imune a 1 porque contraiu 1,0.0,35
Infectado por 2 / imune a 1 porque contraiu 1,0.0,36
Infectado por 2 / imune a 1 porque contraiu 1,0.0,37
Infectado por 2 / imune a 1 porque contraiu 1,0.0,38
Infectado por 2 / imune a 1 porque contraiu 1,0.0,39
Infectado por 2 / imune a 1 porque contraiu 1,0.0,40
Infectado por 2 / imune a 1 porque contraiu 1,0.0,41
Infectado por 2 / imune a 1 porque contraiu 1,0.0,42
Infectado por 2 / imune a 1 porque contraiu 1,0.0,43
Infectado por 2 / imune a 1 porque contraiu 1,0.0,44
Infectado por 2 / imune a 1 porque contraiu 1,0.0,45
Infectado por 2 / imune a 1 porque contraiu 1,0.0,46
Infectado por 2 / imune a 1 porque contraiu 1,0.0,47
Infectado por 2 / imune a 1 porque contraiu 1,0.0,48
Infectado por 2 / imune a 1 porque contraiu 1,0.0,49
Infectado por 2 / imune a 1 porque contraiu 1,0.0,50
Infectado por 2 / imune a 1 porque contraiu 1,0.0,51
Infectado por 2 / imune a 1 porque contraiu 1,0.0,52
Infectado por 2 / imune a 1 porque contraiu 1,0.0,53
Infectado por 2 / imune a 1 porque contraiu 1,0.0,54
Infectado por 2 / imune a 1 porque contraiu 1,0.0,55
Infectado por 2 / imune a 1 porque contraiu 1,0.0,56
Infectado por 2 / imune a 1 porque contraiu 1,0.0,57
Infectado por 2 / imune a 1 porque contraiu 1,0.0,58
Infectado por 2 / imune a 1 porque contraiu 1,0.0,59
Infectado por 2 / imune a 1 porque contraiu 1,0.0,60
Infectado por 2 / imune a 1 porque contraiu 1,0.0,61
Infectado por 2 / imune a 1 porque contraiu 1,0.0,62
Infectado por 2 / imune a 1 porque contraiu 1,0.0,63
Infectado por 2 / imune a 1 porque contraiu 1,0.0,64
Infectado por 2 / imune a 1 porque contraiu 1,0.0,65
Infectado por 2 / imune a 1 porque contraiu 1,0.0,66
Infectado por 2 / imune a 1 porque contraiu 1,0.0,67
Infectado por 2 / imune a 1 porque contraiu 1,0.0,68
Infectado por 2 / imune a 1 porque contraiu 1,0.0,69
Infectado por 2 / imune a 1 porque contraiu 1,0.0,70
Infectado por 2 / imune a 1 porque contraiu 1,0.0,71
Infectado por 2 / imune a 1 porque contraiu 1,0.0,72
Infectado por 2 / imune a 1 porque contraiu 1,0.0,73
Infectado por 2 / imune a 1 porque contraiu 1,0.0,74
Infectado por 2 / imune a 1 porque contraiu 1,0.0,75
Infectado por 2 / imune a 1 porque contraiu 1,0.0,76
Infectado por 2 / imune a 1 porque contraiu 1,0.0,77
Infectado por 2 / imune a 1 porque contraiu 1,0.0,78
Infectado por 2 / imune a 1 porque contraiu 1,0.0,79
Infectado por 2 / imune a 1 porque contraiu 1,0.0,80
Infectado por 2 / imune a 1 porque contraiu 1,0.0,81
Infectado por 2 / imune a 1 porque contraiu 1,0.0,82
Infectado por 2 / imune a 1 porque contraiu 1,0.0,83
Infectado por 2 / imune a 1 porque contraiu 1,0.0,84
Infectado por 2 / imune a 1 porque contraiu 1,0.0,85
Infectado por 2 / imune a 1 porque contraiu 1,0.0,86
Infectado por 2 / imune a 1 porque contraiu 1,0.0,87
Infectado por 2 / imune a 1 porque contraiu 1,0.0,88
